Item Name,Product Price
Mint Sauce,0.5
Lime Pickle,0.5
Mango Chutney,0.5
Red Sauce,0.5
Onion Chutney,0.5
Plain Papadum,0.8
Spicy Papadum,0.8
Chapati,1.95
Puree,1.95
Tandoori Roti,2.6
Plain Naan,2.6
Raitha,2.95
Keema Naan,2.95
Peshwari Naan,2.95
Pilau Rice,2.95
Green Salad,2.95
Bottle Coke,2.95
Plain Rice,2.95
Garlic Naan,2.95
Onion Naan,2.95
Paratha,2.95
Bottle Diet Coke,2.95
Kulcha Naan,2.95
Lemonade 1.5 ltr,2.95
Diet Coke 1.5 ltr,2.95
Coke 1.5 ltr,2.95
Dhansak Sauce,3.95
Onion Bhajee,3.95
Lemon Rice,3.95
French Fries,3.95
Garlic Rice,3.95
Onion Rice,3.95
Perrier Water (750ml),3.95
Special Fried Rice,3.95
Meat Samosa,3.95
Mushroom Rice,3.95
Korma Sauce,3.95
Vegetable Rice,3.95
Egg Rice,3.95
Curry Sauce,3.95
Egg Paratha,3.95
Keema Rice,3.95
Stuffed Paratha,3.95
COBRA (330ML),3.95
Saag Rice,3.95
Masala Sauce,3.95
Madras Sauce,3.95
Vindaloo Sauce,3.95
Bengal Salad,3.95
Still Water (750ml),3.95
Prier Water (750ml),3.95
Onion Bhaji,3.95
Chicken Tikka,3.95
Aloo Chaat,4.95
Tandoori Chicken (1/4),4.95
Chicken Chaat,4.95
Prawn Puree,4.95
Lamb Tikka,4.95
Vegetable Roll,4.95
Sheek Kebab,4.95
Sheek Kehab,4.95
Vegetable Samosa,4.95
King Prawn Puree,5.95
Bhindi Bhajee,5.95
Tarka Dall,5.95
Saag Paneer,5.95
Baingan Hari Mirch,5.95
Chicken Pakora,5.95
COBRA ( LARGE ),5.95
Royal Paneer,5.95
Muttar Paneer,5.95
Chana Masala,5.95
Bombay Aloo,5.95
Saag Aloo,5.95
Aloo Methi,5.95
Saag Bhajee,5.95
Cauliflower Bhajee,5.95
Saag Dall,5.95
Aloo Gobi,5.95
Mixed Vegetable Curry,5.95
Mushroom Bhajee,5.95
Mixed Starter,5.95
Tandoori Fish,5.95
Brinjal Bhajee,5.95
Vegetable Mysore,5.95
King Prawn Butterfly,5.95
Dall Samba,5.95
COBRA (660ML),5.95
Chicken Chaat Main,7.9
Madras - Chicken,7.95
Madras - Lamb,7.95
Curry - Chicken,7.95
Vindaloo - Chicken,7.95
Madras - Chicken Tikka,7.95
Curry - Lamb,7.95
Curry - Chicken Tikka,7.95
Vindaloo - Chicken Tikka,7.95
Vindaloo - Lamb,7.95
Madras,7.95
Curry,7.95
Vindaloo,7.95
Korma - Chicken,8.95
Chicken Tikka Masala,8.95
Pathia - Chicken Tikka,8.95
Chicken Tikka Jalfrezi,8.95
Methi - Lamb,8.95
Tandoori Chicken (Main),8.95
Bhuna - Chicken,8.95
Korma - Chicken Tikka,8.95
Chicken Tikka (Main),8.95
Paneer Tikka Masala,8.95
Dupiaza - Chicken,8.95
Bhuna - Chicken Tikka,8.95
Pathia - Lamb,8.95
Chicken Karahi,8.95
Bhuna - Lamb,8.95
Dhansak - Chicken Tikka,8.95
Dhansak - Chicken,8.95
Rogon - Lamb,8.95
Chicken Tikka Pasanda,8.95
Pathia - Chicken,8.95
Lamb Tikka Masala,8.95
Lamb Tikka Jalfrezi,8.95
Lamb Karahi,8.95
Madras - Prawn,8.95
Lamb Tikka (Main),8.95
Lamb Tikka Pasanda,8.95
Lamb Tikka Garlic,8.95
Chicken Tikka Garlic,8.95
Chicken Tikka Chilli Masala,8.95
Dupiaza - Chicken Tikka,8.95
Mushroom - Chicken,8.95
Dhansak - Lamb,8.95
Sheek Kebab (Main),8.95
Saag - Chicken,8.95
Tandoori Chicken Masala,8.95
Saag - Chicken Tikka,8.95
Dupiaza - Lamb,8.95
Curry - Prawn,8.95
Saag - Lamb,8.95
Korma - Lamb,8.95
Mushroom - Lamb,8.95
Rogon - Chicken Tikka,8.95
Lamb Tikka Chilli Masala,8.95
Vindaloo - Prawn,8.95
Methi - Chicken Tikka,8.95
Vegetable Karahi,8.95
Rogon - Chicken,8.95
Mushroom - Chicken Tikka,8.95
Methi - Chicken,8.95
Lamb Tikka Jeera,8.95
Chicken Tikka Jeera,8.95
Bhuna,8.95
Saag,8.95
Dhansak,8.95
Pathia,8.95
Korma,8.95
Dupiaza,8.95
Methi,8.95
Rogon,8.95
Mushroom,8.95
Tandoori Chicken,8.95
Chicken Shashlick,9.95
Chicken Roshni,9.95
Chicken Balti,9.95
Lamb Balti,9.95
Butter Chicken,9.95
Lamb Hari Mirch,9.95
Chicken Chilli Garlic,9.95
Lamb Biryani,9.95
Vegetable Biryani,9.95
Chicken Rezala,9.95
Lamb Rezala,9.95
Chicken Tikka Karahi,9.95
Chicken Hari Mirch,9.95
Chicken Biryani,9.95
Lamb Shashlick,9.95
Bhuna - Prawn,9.95
Chicken Haryali,9.95
Lamb Chilli Garlic,9.95
Paneer Shaslick,9.95
Chicken Mysore,9.95
Paneer Tikka Karahi,9.95
Lamb Achar,9.95
Paneer Tikka Sizzler,9.95
Chicken Tikka Sizzler,9.95
Lal Mirch Chicken,9.95
Lamb Tikka Karahi,9.95
Prawn Karahi,9.95
Lal Mirch Lamb,9.95
Korma - Prawn,9.95
Lamb Haryali,9.95
Lamb Sylhet,9.95
Vegetable Balti,9.95
Dhansak - Prawn,9.95
Lamb Mysore,9.95
Chicken Sylhet,9.95
Lamb Tikka Sizzler,9.95
Pathia - Prawn,9.95
Chicken Achar,9.95
Dupiaza - Prawn,9.95
Lamb Roshni,9.95
Saag - Prawn,9.95
Methi - Prawn,9.95
Rogon - Prawn,9.95
Mushroom - Prawn,9.95
Lamb Tikka Biryani,10.95
Chicken Tikka Balti,10.95
Lamb Tikka Balti,10.95
Prawn Biryani,10.95
Paneer Tikka Balti,10.95
Chicken Tikka Biryani,10.95
Persian Lamb Biryani,10.95
Prawn Balti,10.95
Persian Chicken Biryani,10.95
Lamb Persian,10.95
Tandoori Mixed Grill,11.95
Curry - King Prawn,11.95
Madras - King Prawn,11.95
Tandoori Fish (Main),11.95
Vindaloo - King Prawn,11.95
Tandoori King Prawn Garlic,12.95
Chicken Shashlick Curry,12.95
King Prawn Hari Mirch,12.95
Hazary Lamb Chilli Garlic,12.95
Lamb Shashlick Curry,12.95
King Prawn Shaslick,12.95
Dhansak - King Prawn,12.95
Bengal King Prawn,12.95
Korma - King Prawn,12.95
Bhuna - King Prawn,12.95
Hazary Lamb,12.95
Bengal Fish Biryani,12.95
Tandoori King Prawn Masala,12.95
King Prawn Biryani,12.95
Saag - King Prawn,12.95
Dupiaza - King Prawn,12.95
Pathia - King Prawn,12.95
Bengal Fry Fish,12.95
King Prawn Balti,12.95
Bengal Fish Karahi,12.95
Rogon - King Prawn,12.95
Mushroom - King Prawn,12.95
King Prawn Karahi,12.95
Methi - King Prawn,12.95
Kurma,12.95
House Red wine 75cl,17.95
House white wine 75cl,17.95
